tool;sample_id;recall;precision;f1_score
greedy_putative;102;0.666859039099697;0.9921198628926817;0.7976039932102478
greedy_questionable;102;0.0;0;0
plasmidSPAdes;102;1.0;0.8095098882201204;0.8947283388612756
mob_recon;102;0.9709998557206753;0.13383925598395502;0.2352521681635145
greedy_putative;107;0.9775348436535692;1.0;0.9886398176909361
greedy_questionable;107;0.0;0;0
plasmidSPAdes;107;0.17597973667969555;0.9994220229197808;0.2992645246426089
mob_recon;107;0.7568851573750257;1.0;0.8616216651359194
greedy_putative;108;1.0;1.0;1.0
greedy_questionable;108;0.0;0;0
plasmidSPAdes;108;1.0;1.0;1.0
mob_recon;108;0.9439482058597608;1.0;0.9711660043352601
greedy_putative;109;0.9733286498092784;1.0;0.9864840810002432
greedy_questionable;109;0.0;0;0
plasmidSPAdes;109;0.990045862254919;1.0;0.9949980360081743
mob_recon;109;0.9113280264388232;1.0;0.9536071399913545
greedy_putative;110;1.0;1.0;1.0
greedy_questionable;110;0.0;0;0
plasmidSPAdes;110;1.0;1.0;1.0
mob_recon;110;1.0;1.0;1.0
greedy_putative;111;1.0;1.0;1.0
greedy_questionable;111;0.0;0;0
plasmidSPAdes;111;1.0;1.0;1.0
mob_recon;111;1.0;1.0;1.0
greedy_putative;112;0.9801354531779676;1.0;0.989968086885091
greedy_questionable;112;0.0479987908536717;1.0;0.09160085158986334
plasmidSPAdes;112;1.0;0.7557084309133489;0.8608586911213006
mob_recon;112;0.9322590164170403;1.0;0.9649420791894812
greedy_putative;113;0.9851448805976595;1.0;0.9925168588209702
greedy_questionable;113;0.0;0;0
plasmidSPAdes;113;1.0;0.7531018226028233;0.8591649531054575
mob_recon;113;0.9448330958241569;0.9999770338444579;0.9716232780022671
greedy_putative;114;0.9462233682998272;1.0;0.9723687257197252
greedy_questionable;114;0.0;0;0
plasmidSPAdes;114;0.9459730115414465;0.41507873494773057;0.5769850880955331
mob_recon;114;0.9984978594497158;1.0;0.9992483651942976
greedy_putative;115;0.9462233682998272;1.0;0.9723687257197252
greedy_questionable;115;0.0;0;0
plasmidSPAdes;115;0.9459730115414465;1.0;0.9722365170852203
mob_recon;115;1.0;1.0;1.0
greedy_putative;116;1.0;0.9955054715997915;0.9977476742288233
greedy_questionable;116;0.0;0;0
plasmidSPAdes;116;0.9518102262416952;0.7234738293791885;0.8220812308347822
mob_recon;116;0.9454078496795153;0.9951888064211227;0.9696598276060564
greedy_putative;117;0.9637361405364694;1.0;0.9815332321308585
greedy_questionable;117;0.031293569093935325;1.0;0.06068799424673801
plasmidSPAdes;117;0.32107385868737187;0.9997543364012037;0.4860510757135089
mob_recon;117;0.8489020228995564;1.0;0.9182769150398339
greedy_putative;118;0.5899852152745628;1.0;0.7421266683573314
greedy_questionable;118;0.0;0;0
plasmidSPAdes;118;1.0;0.3872456381884052;0.558294259543114
mob_recon;118;0.6212347485849973;1.0;0.7663723580156504
greedy_putative;119;0.9857825263574437;1.0;0.9928403672336488
greedy_questionable;119;0.0;0;0
plasmidSPAdes;119;1.0;0.4996157261021993;0.6663250023401667
mob_recon;119;0.9458577122021539;1.0;0.9721756182590696
greedy_putative;120;0.9999487959739006;1.0;0.9999743973314704
greedy_questionable;120;0.06163501770196331;1.0;0.11611338487191147
plasmidSPAdes;120;1.0;1.0;1.0
mob_recon;120;0.9400620300201891;1.0;0.9691051270256615
greedy_putative;121;0.947327419395371;1.0;0.9729513485611047
greedy_questionable;121;0.0;0;0
plasmidSPAdes;121;0.947327419395371;1.0;0.9729513485611047
mob_recon;121;1.0;1.0;1.0
greedy_putative;122;0.947327419395371;1.0;0.9729513485611047
greedy_questionable;122;0.0;0;0
plasmidSPAdes;122;0.947327419395371;1.0;0.9729513485611047
mob_recon;122;1.0;1.0;1.0
greedy_putative;123;1.0;1.0;1.0
greedy_questionable;123;0.0;0;0
plasmidSPAdes;123;1.0;1.0;1.0
mob_recon;123;1.0;1.0;1.0
greedy_putative;124;1.0;1.0;1.0
greedy_questionable;124;0.0;0;0
plasmidSPAdes;124;1.0;1.0;1.0
mob_recon;124;1.0;1.0;1.0
greedy_putative;129;0.9963133840591843;1.0;0.9981532879705893
greedy_questionable;129;0.01798969359849683;0.0006480277416558301;0.0012509920395256597
plasmidSPAdes;129;0.9814801034360873;0.8291356958104399;0.8988988042910381
mob_recon;129;0.3365021487172809;1.0;0.503556464971256
greedy_putative;133;0.0;0;0
greedy_questionable;133;1.0;0.05180250872047661;0.09850234866523497
plasmidSPAdes;133;1.0;0.8040110437917019;0.8913593368051865
mob_recon;133;0.9753678354439645;1.0;0.9875303403679754
greedy_putative;15;0.0;0;0
greedy_questionable;15;0.0;0;0
plasmidSPAdes;15;0.6206560481176209;0.3682800955347291;0.4622649706194135
mob_recon;15;0.07167520605925595;0.8202056818629576;0.13183018507203917
greedy_putative;16;0.0;0;0
greedy_questionable;16;0.0;0;0
plasmidSPAdes;16;0.7286674569266527;0.628123593338049;0.6746701657620369
mob_recon;16;0.23563475663693045;0.7565947781500888;0.3593523880750761
greedy_putative;18;0.6194479533243843;0.8804365315331072;0.7272354811270971
greedy_questionable;18;0.3588831097727895;0.0619923600553387;0.10572253577952534
plasmidSPAdes;18;0.5034614230258015;0.5475932622947649;0.5246008355696138
mob_recon;18;0.2127612558088912;0.8758159653952026;0.34235459097489873
greedy_putative;19;0.386924581153216;1.0;0.55796052130173
greedy_questionable;19;0.18460008360119348;0.029623615116102595;0.05105431247565887
plasmidSPAdes;19;0.5437536935872119;0.9991299067368784;0.7042405234555679
mob_recon;19;0.933239161874012;1.0;0.9654668499156244
greedy_putative;1;1.0;0.9581441916074536;0.97862475676105
greedy_questionable;1;0.017760341289011484;0.006774966096315319;0.009808371927225333
plasmidSPAdes;1;0.9479746050315925;0.594000078972307;0.7303582816163582
mob_recon;1;0.49747109280055674;0.9327383090974415;0.6488705014914182
