#Organism Name	Organism Groups	Strain	BioSample	BioProject	Size(Mb)	GC%	Replicons	CDS	Neighbors	Release Date	Assembly	Genes	Modify Date	tRNA
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.374161	47.3483	pREB1:NC_009926.1/CP000838.1	309	0	2007-10-17T00:00:00Z	GCA_000018105.1	333	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.356087	45.3367	pREB2:NC_009927.1/CP000839.1	336	0	2007-10-17T00:00:00Z	GCA_000018105.1	360	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.273121	45.1902	pREB3:NC_009928.1/CP000840.1	250	0	2007-10-17T00:00:00Z	GCA_000018105.1	290	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.22668	45.877	pREB4:NC_009929.1/CP000841.1	209	0	2007-10-17T00:00:00Z	GCA_000018105.1	225	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.177162	44.6755	pREB5:NC_009930.1/CP000842.1	176	0	2007-10-17T00:00:00Z	GCA_000018105.1	179	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.172728	47.1267	pREB6:NC_009931.1/CP000843.1	152	0	2007-10-17T00:00:00Z	GCA_000018105.1	165	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.15511	45.5909	pREB7:NC_009932.1/CP000844.1	130	0	2007-10-17T00:00:00Z	GCA_000018105.1	136	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.120693	45.4185	pREB8:NC_009933.1/CP000845.1	103	0	2007-10-17T00:00:00Z	GCA_000018105.1	109	2017-04-17T00:00:00Z	0
Acaryochloris marina MBIC11017	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group	MBIC11017	SAMN02604308	PRJNA12997	0.002133	42.5223	pREB9:NC_009934.1/CP000846.1	2	0	2007-10-17T00:00:00Z	GCA_000018105.1	3	2017-04-17T00:00:00Z	0
Acetobacter aceti	Bacteria;Proteobacteria;Alphaproteobacteria			PRJNA187804	0.005123	55.8657	pAC5:NC_001275.1/AF110140.1	2	0	1999-12-27T00:00:00Z		2	2014-12-17T00:00:00Z	0
Acetobacter aceti	Bacteria;Proteobacteria;Alphaproteobacteria			PRJNA187804	0.002953	56.3495	pAG20:NC_022074.1/KC871566.1	1	0	2013-08-15T00:00:00Z		1	2014-12-18T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 1590	SAMN04605654	PRJNA317327	0.04938	51.132	unnamed1:NZ_CP015165.1/CP015165.1	41	0	2016-10-17T00:00:00Z	GCA_001766235.1	54	2017-10-22T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 1590	SAMN04605654	PRJNA317327	0.046811	56.1641	unnamed2:NZ_CP015166.1/CP015166.1	44	0	2016-10-17T00:00:00Z	GCA_001766235.1	48	2017-10-22T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 1590	SAMN04605654	PRJNA317327	0.043148	59.3052	unnamed3:NZ_CP015167.1/CP015167.1	46	0	2016-10-17T00:00:00Z	GCA_001766235.1	49	2017-10-22T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	SRCM101447	SAMN07125917	PRJNA386748	0.336151	52.1239	pAP1447-1:NZ_CP021525.1/CP021525.1	309	0	2017-06-08T00:00:00Z	GCA_002173775.1	356	2017-06-08T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	SRCM101447	SAMN07125917	PRJNA386748	0.044181	51.873	pAP1447-2:NZ_CP021526.1/CP021526.1	46	0	2017-06-08T00:00:00Z	GCA_002173775.1	56	2017-06-08T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	SRCM101447	SAMN07125917	PRJNA386748	0.003654	54.8714	pAP1447-3:NZ_CP021527.1/CP021527.1	1	0	2017-06-08T00:00:00Z	GCA_002173775.1	5	2017-06-08T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 1591	SAMN04605655	PRJNA317328	0.259464	54.1798	unnamed1:NZ_CP015169.1/CP015169.1	234	0	2016-10-17T00:00:00Z	GCA_001766255.1	277	2018-09-19T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 1591	SAMN04605655	PRJNA317328	0.117661	54.4607	unnamed2:NZ_CP015170.1/CP015170.1	83	0	2016-10-17T00:00:00Z	GCA_001766255.1	118	2018-09-19T00:00:00Z	0
Acetobacter ascendens	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 1591	SAMN04605655	PRJNA317328	0.028186	54.6371	unnamed3:NZ_CP015171.1/CP015171.1	26	0	2016-10-17T00:00:00Z	GCA_001766255.1	30	2018-09-19T00:00:00Z	0
Acetobacter ghanensis	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 23848T	SAMEA2738364	PRJEB7123	0.161207	55.7259	1P:NZ_LN609303.1/LN609303.1	163	0	2016-01-03T00:00:00Z	GCA_001499675.1	179	2017-04-16T00:00:00Z	0
Acetobacter ghanensis	Bacteria;Proteobacteria;Alphaproteobacteria	LMG 23848T	SAMEA2738364	PRJEB7123	0.017845	53.5444	2P:NZ_LN609304.1/LN609304.1	20	0	2016-01-03T00:00:00Z	GCA_001499675.1	21	2017-04-16T00:00:00Z	0
Acetobacter oryzifermentans	Bacteria;Proteobacteria;Alphaproteobacteria	SLV-7	SAMN03437041	PRJNA279108	0.165374	52.3934	unnamed1:NZ_CP011121.1/CP011121.1	142	0	2016-04-25T00:00:00Z	GCA_001628715.1	180	2017-04-12T00:00:00Z	0
