Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	37551
Total length (>= 1000 bp)	37551
Total length (>= 5000 bp)	37551
Total length (>= 10000 bp)	37551
Total length (>= 25000 bp)	37551
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	37551
Total length	37551
Reference length	138942
GC (%)	41.18
Reference GC (%)	47.61
N50	37551
N75	37551
L50	1
L75	1
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	37551
# local misassemblies	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	26.990
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	0.00
Largest alignment	32127
Total aligned length	37551
NA50	32127
NGA50	-
NA75	32127
LA50	1
LA75	1
